
*497 - CONDOMINIO EDIFICIO RES. SOLAR DO CANTO                                                       ;ARTUR LUIZ MARTINS BARBOSA ME 003559                                      ;3.1.1.51 - SERVICO HIDRAULICO                     ;270                 ;1599                ;INCLUSAO            ;29/10/2021          ;1635526146          ;          
*390 - CONDOMINIO RESIDENCIAL PANORAMA                                                               ;HUGO MARIO VERGARA ME 000093                                              ;3.1.1.39 - CONSERTO CFTV/PARABOLICA               ;143,00              ;2852                ;INCLUSAO            ;01/11/2021          ;1635776812          ;8452      
#-A PEDIDO DO SENHOR JOSÉ ADALBERTO TOZO, FOMOS ATÉ SEU APTO, Nº102, VERIFICAR A AUSÊNCIA DE SINAL OI TV. CHEGANDO NO PRÉDIO, FIZEMOS O CONSERTO DO SINAL DE TV DO PONTO DA SALA QUE ESTAVA COM DEFEITO NA DISTRIBUIÇÃO NA CASA DE MÁQUINAS, COM TROCA DO CONECTOR.;

*160 - CONDOMINIO EDIFICIO RESIDENCIAL ORLANDO TOBALDINI                                             ;PAULO MAQUINAS 001612                                                     ;3.1.1.51 - MATERIAL CONSTRUCAO                    ;360                 ;30/11               ;INCLUSAO            ;01/11/2021          ;1635778204          ;          
#-LOCAÇÃO DE UM MARTELETE 16 KG.                                                                      ;

*291 - CONDOMINIO RESIDENCIAL ENCOSTA DOURADA                                                        ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;320,00              ;931                 ;INCLUSAO            ;01/11/2021          ;1635782529          ;          
#-Troca disjuntor geral, conserto curto motor garagem                                                 ;

*437 - CONDOMINIO EDIFICIO RESIDENCIAL BESENELLO                                                     ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;260,00              ;932                 ;INCLUSAO            ;01/11/2021          ;1635782592          ;          
#-Troca 2 luminarias led                                                                              ;

*085 - CONDOMINIO RESIDENCIAL LARISSA                                                                ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;260,00              ;933                 ;INCLUSAO            ;01/11/2021          ;1635782678          ;          
#-Conserto telhado e calha                                                                            ;

*135 - CONDOMINIO RESIDENCIAL BRISAS DO MAR (BOMBAS)                                                 ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;280,00              ;934                 ;INCLUSAO            ;01/11/2021          ;1635782760          ;          
#-Troca 3 sensores, 5 lâmpadas                                                                        ;

*526 - CONDOMINIO RESIDENCIAL VILLA PARADISO                                                         ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;1100,00             ;935                 ;INCLUSAO            ;01/11/2021          ;1635782865          ;          
#-Conserto vazamento e limpeza caixas de agua                                                         ;

*516 - CONDOMINIO RESIDENCIAL FLORES DE VENERANDA                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;70,00               ;936                 ;INCLUSAO            ;01/11/2021          ;1635782960          ;          
#-Troca sensor fim de curso portão                                                                    ;

*479 - CONDOMINIO RESIDENCIAL MORADAS                                                                ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO PINTURA                        ;320,00              ;937                 ;INCLUSAO            ;01/11/2021          ;1635783047          ;          
#-Conserto vazamento encanamento esgoto, reparo e pintura gesso ap 203                                ;

*416 - CONDOMINIO RESIDENCIAL RUFINO S DE ANDRADE                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.41 - CONSERTO PORTAO                        ;180,00              ;938                 ;INCLUSAO            ;01/11/2021          ;1635783117          ;          
#-Troca rolamentos portão garagem                                                                     ;

*503 - CONDOMINIO RESIDENCIAL BAIA DOURADA                                                           ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;60,00               ;939                 ;INCLUSAO            ;01/11/2021          ;1635783181          ;          
#-Verificar vazamento vindo da fossa do prédio                                                        ;

*448 - CONDOMINIO SOLAR DAS ILHAS                                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO PINTURA                        ;3000,00             ;940                 ;INCLUSAO            ;01/11/2021          ;1635783249          ;          
#-Pintura portões e grades                                                                            ;

*548 - CONDOMINIO MANCHESTER                                                                         ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;180,00              ;941                 ;INCLUSAO            ;01/11/2021          ;1635783352          ;          
#-2 cadeados pra os portões, fixar roda pé garagem e fixar porta zeladora                             ;

*450 - CONDOMINIO RESIDENCIAL VILLA FIRENZE                                                          ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;3050,00             ;942                 ;INCLUSAO            ;01/11/2021          ;1635783583          ;          
#-Reparo telhado, lavar cobertura garagem e vedar                                                     ;

*411 - ASS. DE MORADORES DO COND. RES. MARIA MADALENA                                                ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;180,00              ;943                 ;INCLUSAO            ;01/11/2021          ;1635783697          ;          
#-Troca sensor anti esmagamento                                                                       ;

*526 - CONDOMINIO RESIDENCIAL VILLA PARADISO                                                         ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;60,00               ;944                 ;INCLUSAO            ;01/11/2021          ;1635783815          ;          
#-Conserto luminária caída troca molas                                                                ;

*512 - CONDOMINIO EDF. COSTA BRAVA RESIDENCE                                                         ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ALVENARIA                      ;280,00              ;945                 ;INCLUSAO            ;01/11/2021          ;1635783918          ;          
#-Vedar telhado de vidro piscina                                                                      ;

*451 - CONDOMINIO RESIDENCIAL FREDERICO                                                              ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO HIDRAULICO                     ;300,00              ;946                 ;INCLUSAO            ;01/11/2021          ;1635784030          ;          
#-Desentupir encanamento , conserto encanamento e limpeza                                             ;

*544 - CONDOMINIO RESIDENCIAL POSITANO                                                               ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;220,00              ;947                 ;INCLUSAO            ;01/11/2021          ;1635784163          ;          
#-Troca luminária led fit, 1 ducha inox                                                               ;

*448 - CONDOMINIO SOLAR DAS ILHAS                                                                    ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;220,00              ;948                 ;INCLUSAO            ;01/11/2021          ;1635784295          ;          
#-1 luminária led 24 w , 1 ducha inox                                                                 ;

*124 - CONDOMINIO EDIFICIO GRUTA AZURRA                                                              ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;150,00              ;949                 ;INCLUSAO            ;01/11/2021          ;1635784411          ;          
#-1 sensor , 1 lâmpada bloco a                                                                        ;

*512 - CONDOMINIO EDF. COSTA BRAVA RESIDENCE                                                         ;ARTUR LUIZ MARTINS BARBOSA ME 003559                                      ;3.1.1.51 - MATERIAL ELETRICO                      ;670                 ;1670                ;INCLUSAO            ;01/11/2021          ;1635784725          ;          
#-1 bomba d agua eletroplas                                                                           ;

*021 - CONDOMINIO ED. RES. DANTE ALIGUIERI BLOCO A                                                   ;EXTINFORT COMERCIO DE EQUIPAMENTOS DE SEGURANÇA LT 000991                 ;3.1.1.10 - EXTINTORES                             ;315,00              ;2239124313          ;INCLUSAO            ;01/11/2021          ;1635787306          ;1A        
#-13 PQSP 4KG N2 02 MANOMETROS                                                                        ;

*123 - CONDOMINIO RESIDENCIAL ACAPULCO                                                               ;BIOMED AMBIENTAL 001925                                                   ;3.1.5.94 - TRATAMENTO DE AGUA                     ;410,00              ;647                 ;INCLUSAO            ;01/11/2021          ;1635790470          ;          
#-Monitoramento e Reposição de Produtos Químicos para o tratamento de água de fonte alternativa       ;

*190 - CONDOMINIO ED. RES. COSTA BRAVA                                                               ;BIOMED AMBIENTAL 001925                                                   ;3.1.5.94 - TRATAMENTO DE AGUA                     ;410,00              ;648                 ;INCLUSAO            ;01/11/2021          ;1635790545          ;          
#-Monitoramento e Reposição de produtos químicos para o tratamento de água de fonte alternativa       ;

*411 - ASS. DE MORADORES DO COND. RES. MARIA MADALENA                                                ;ENIS CHISTO DA ROCHA 000599                                               ;3.1.1.92 - SERVICO LIMPEZA TERCEIRIZADA           ;500,00              ;581                 ;INCLUSAO            ;01/11/2021          ;1635795740          ;          
#-MANUTENCAO E CONSERVACAO DAS AREAS COMUNS REF 10 2021                                               ;

*140 - CONDOMINIO EDIFICIO RESIDENCIAL BEIJA-FLOR II                                                 ;ENIS CHISTO DA ROCHA 000599                                               ;3.1.1.92 - SERVICO LIMPEZA TERCEIRIZADA           ;500,00              ;582                 ;INCLUSAO            ;01/11/2021          ;1635795793          ;          
#-MANUTENCAO E CONSERVACAO DAS AREAS COMUNS REF 10 2021                                               ;

*160 - CONDOMINIO EDIFICIO RESIDENCIAL ORLANDO TOBALDINI                                             ;ENIS CHISTO DA ROCHA 000599                                               ;3.1.1.92 - SERVICO LIMPEZA TERCEIRIZADA           ;482,00              ;583                 ;INCLUSAO            ;01/11/2021          ;1635795966          ;          
#-MANUTENCAO E CONSERVACAO DAS AREAS COMUNS REF 10 2021                                               ;

*490 - CONDOMINIO EDIFICIO RESIDENCIAL RIOMAGGIORE                                                   ;ENIS CHISTO DA ROCHA 000599                                               ;3.1.1.92 - SERVICO LIMPEZA TERCEIRIZADA           ;500,00              ;584                 ;INCLUSAO            ;01/11/2021          ;1635796062          ;          
#-MANUTENCAO E CONSERVACAO DAS AREAS COMUNS REF 10 2021                                               ;

*200 - CONDOMINIO EDIFICIO SHANAM                                                                    ;ENIS CHISTO DA ROCHA 000599                                               ;3.1.1.92 - SERVICO LIMPEZA TERCEIRIZADA           ;500,00              ;585                 ;INCLUSAO            ;01/11/2021          ;1635796145          ;          
#-MANUTENCAO E CONSERVACAO DAS AREAS COMUNS REF 10 2021
                                             ;

*285 - CONDOMINIO EDIFICIO ELILIANE                                                                  ;ENIS CHISTO DA ROCHA 000599                                               ;3.1.1.92 - SERVICO LIMPEZA TERCEIRIZADA           ;250,00              ;586                 ;INCLUSAO            ;01/11/2021          ;1635796243          ;          
#-MANUTENCAO E CONSERVACAO DAS AREAS COMUNS REF 10 2021                                               ;

*553 - CONDOMINIO ENSEADA DOS GALEOES                                                                ;ENIS CHISTO DA ROCHA 000599                                               ;3.1.1.92 - SERVICO LIMPEZA TERCEIRIZADA           ;300,00              ;587                 ;INCLUSAO            ;01/11/2021          ;1635796313          ;          
#-MANUTENCAO E CONSERVACAO DAS AREAS COMUNS REF 10 2021                                               ;

*479 - CONDOMINIO RESIDENCIAL MORADAS                                                                ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.39 - CONSERTO CFTV/PARABOLICA               ;450,00              ;25135               ;INCLUSAO            ;02/11/2021          ;1635845289          ;          
#-feito revisao sistema de cameras trocado cabos balum e um fonta 
foi usado cabo blindado           ;

*542 - ASS. DE MORADORES DO RESIDENCIAL FLORENZA                                                     ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.43 - CONSERTO INTERFONE                     ;200,00              ;25204               ;INCLUSAO            ;02/11/2021          ;1635845385          ;          
#-foi instalado 2 botoeiras corta corrente para fechaduras                                            ;

*545 - CONDOMINIO VILLA LUNA                                                                         ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.43 - CONSERTO INTERFONE                     ;420,00              ;25205               ;INCLUSAO            ;02/11/2021          ;1635845499          ;          
#-foi trocado xpe do portao da rua                                                                    ;

*436 - CONDOMINIO RESIDENCIAL ROSANE                                                                 ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.41 - CONSERTO PORTAO                        ;120,00              ;25206               ;INCLUSAO            ;02/11/2021          ;1635845569          ;          
#-foi trocado capacitor portao 3                                                                      ;

*515 - CONDOMINIO RESIDENCIAL AGUAS AZUIS                                                            ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;LN                                                ;490,00              ;25207               ;INCLUSAO            ;02/11/2021          ;1635845708          ;          
#-foi trocado xlt (teclado de controle de acesso) da porta da garagem inferior bloco 1                ;

*190 - CONDOMINIO ED. RES. COSTA BRAVA                                                               ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.39 - CONSERTO CFTV/PARABOLICA               ;200,00              ;25208               ;INCLUSAO            ;02/11/2021          ;1635845834          ;          
#-foi trocado antena digital que estava quebrada devido a queda de um cano                            ;

*494 - CONDOMINIO RESIDENCIAL GRËN GARTEN                                                            ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.41 - CONSERTO PORTAO                        ;150,00              ;25209               ;INCLUSAO            ;02/11/2021          ;1635846018          ;          
#-feito revisao nos portoes e no xpe da porta da rua que nao estava abrindo a porta tambem foi feito um controle novo para sindico ;

*453 - CONDOMINIO RESIDENCIAL AURORA                                                                 ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.43 - CONSERTO INTERFONE                     ;250,00              ;25210               ;INCLUSAO            ;02/11/2021          ;1635846177          ;          
#-foi retirado fechadura para inverssao da porta e reinstalado novamente                              ;

*124 - CONDOMINIO EDIFICIO GRUTA AZURRA                                                              ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.43 - CONSERTO INTERFONE                     ;220,00              ;25211               ;INCLUSAO            ;02/11/2021          ;1635846276          ;          
#-foi refeito cabeamento do interfone do bloco b que nao estavao funcionando                          ;

*149 - CONDOMINIO RESIDENCIAL AMARILIS                                                               ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.43 - CONSERTO INTERFONE                     ;120,00              ;25212               ;INCLUSAO            ;02/11/2021          ;1635846353          ;          
#-foi trocado fecho magnetico  da porta do hall                                                       ;

*541 - CONDOMINIO VILA MALLORCA                                                                      ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.43 - CONSERTO INTERFONE                     ;330,00              ;25213               ;INCLUSAO            ;02/11/2021          ;1635846487          ;          
#-foi trocado fonte e bateria do portao de banhistas da rua periquito                                 ;

*450 - CONDOMINIO RESIDENCIAL VILLA FIRENZE                                                          ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.41 - CONSERTO PORTAO                        ;1550,00             ;25214               ;INCLUSAO            ;02/11/2021          ;1635846649          ;          
#-trocado motor completo do portao  2 e instalado acionador igd110                                    ;

*419 - CONDOMINIO RESIDENCIAL MARBELLA                                                               ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.41 - CONSERTO PORTAO                        ;500,00              ;25215               ;INCLUSAO            ;02/11/2021          ;1635846862          ;          
#-feito revisao em todos os portoes 
trocado uma central do portao 2 da rua pescada amarela 
roldana do portao 2 da rua pirajica 
tem dois portoes com motor danificado, o portao do apto 104 e o portao em frente a zeladora ;

*200 - CONDOMINIO EDIFICIO SHANAM                                                                    ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.39 - CONSERTO CFTV/PARABOLICA               ;140,00              ;25216               ;INCLUSAO            ;02/11/2021          ;1635846966          ;          
#-feito revisao sistema de tv e trocado um divisor                                                    ;

*468 - CONDOMINIO RESIDENCIAL VIDA MANSA                                                             ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.41 - CONSERTO PORTAO                        ;300,00              ;25202               ;INCLUSAO            ;02/11/2021          ;1635847082          ;          
#-feito 5 controles novos para portao                                                                 ;

*479 - CONDOMINIO RESIDENCIAL MORADAS                                                                ;ISRAEL ALEXANDRE DA LUZ 000090                                            ;3.1.1.43 - CONSERTO INTERFONE                     ;530,00              ;25201               ;INCLUSAO            ;02/11/2021          ;1635847290          ;          
#-foi trocado teclado controle de acesso 
a fonte carregadora de bateria 
1 bateria                 ;

*455 - CONDOMINIO ED. RES. IOLANDA                                                                   ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;140,00              ;950                 ;INCLUSAO            ;02/11/2021          ;1635895271          ;          
#-Instalar luminárias jardim , 9 metros de fio pp                                                     ;

*123 - CONDOMINIO RESIDENCIAL ACAPULCO                                                               ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO ELETRICO                       ;90,00               ;951                 ;INCLUSAO            ;02/11/2021          ;1635895328          ;          
#-Conserto box bw zeladora                                                                            ;

*427 - CONDOMINIO RESIDENCIAL ALGAS MARINHAS                                                         ;ALISON ROBERTO GONSATTO 004235                                            ;3.1.1.51 - SERVICO SERRALHERIA                    ;90,00               ;952                 ;INCLUSAO            ;02/11/2021          ;1635895397          ;          
#-Conserto lateral portão, amassado trilho                                                            ;

*523 - CONDOMINIO EDIFICIO RESIDENCIAL PORTO MADERO                                                  ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;359,00              ;10953               ;INCLUSAO            ;03/11/2021          ;1635969994          ;Não tem   
#-01 CLORO PACE 10 KG
01 REAGENTE PH
01 REAGENTE CL                                                 ;

*502 - CONDOMINIO PUNTA BLU RESIDENCE                                                                ;CONDOMINIO PUNTA BLU RESIDENCE 003524                                     ;3.1.1.47 - LIMPEZA PISCINA                        ;643,00              ;11007               ;INCLUSAO            ;03/11/2021          ;1635970215          ;Não tem   
#-10 ELEVADOR DE ALCALINIDADE
01 CLORO ADITIVADO
                                                   ;

*502 - CONDOMINIO PUNTA BLU RESIDENCE                                                                ;HIDRO BOMBINHAS 000066                                                    ;3.1.1.47 - LIMPEZA PISCINA                        ;72,00               ;11008               ;INCLUSAO            ;03/11/2021          ;1635970349          ;Não tem   
#-01 ASPIRADOR JUMBO
                                                                                ;

